trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
171,False,"{'a': 0.5, 'e': 0.3020991512782834}",20,0,11.210237688532953,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
172,False,"{'a': 0.5, 'e': 0.2999918414087205}",25,10,-42.09280928551812,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 1}",1
173,False,"{'a': 0.5, 'e': 0.2978992311994101}",25,14,12.249878017192717,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.2958212181120332}",20,0,-47.04033227369762,"{0: 14, 1: 5, 2: 0, 3: 0, 4: 1}",0
175,False,"{'a': 0.5, 'e': 0.29375770032353277}",25,12,14.220467667761723,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.2917085767211244}",20,5,-2.6101594047234533,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.2896737468973414}",20,12,-8.728398724981526,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.2876531111451154}",30,8,35.69167355243571,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.28564657045289016}",20,12,13.973572980226383,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.2836540264997704}",25,18,5.55058475825856,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.28167538165070355}",30,16,14.581186325193364,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.2797105389516963}",20,4,-69.37289490422131,"{0: 10, 1: 1, 2: 2, 3: 3, 4: 0}",1
